product_id,description,image_path
15970,Turtle Check Men Navy Blue Shirt,../data/RAW/images/15970.jpg
39386,Peter England Men Party Blue Jeans,../data/RAW/images/39386.jpg
59263,Titan Women Silver Watch,../data/RAW/images/59263.jpg
21379,Manchester United Men Solid Black Track Pants,../data/RAW/images/21379.jpg
53759,Puma Men Grey T-shirt,../data/RAW/images/53759.jpg
1855,Inkfruit Mens Chain Reaction T-shirt,../data/RAW/images/1855.jpg
30805,Fabindia Men Striped Green Shirt,../data/RAW/images/30805.jpg
26960,Jealous 21 Women Purple Shirt,../data/RAW/images/26960.jpg
29114,Puma Men Pack of 3 Socks,../data/RAW/images/29114.jpg
30039,Skagen Men Black Watch,../data/RAW/images/30039.jpg
9204,Puma Men Future Cat Remix SF Black Casual Shoes,../data/RAW/images/9204.jpg
48123,Fossil Women Black Huarache Weave Belt,../data/RAW/images/48123.jpg
18653,Fila Men Cush Flex Black Slippers,../data/RAW/images/18653.jpg
47957,Murcia Women Blue Handbag,../data/RAW/images/47957.jpg
46885,Ben 10 Boys Navy Blue Slippers,../data/RAW/images/46885.jpg
12369,Reid & Taylor Men Check Purple Shirts,../data/RAW/images/12369.jpg
29928,Police Men Black Dial Watch PL12889JVSB,../data/RAW/images/29928.jpg
42419,Gini and Jony Girls Knit White Top,../data/RAW/images/42419.jpg
51832,Bwitch Beige Full-Coverage Bra BW335,../data/RAW/images/51832.jpg
47359,Baggit Women Brown Handbag,../data/RAW/images/47359.jpg
17429,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,../data/RAW/images/17429.jpg
12967,ADIDAS Men Spry M Black Sandals,../data/RAW/images/12967.jpg
6842,Timberland Unisex Rubber Sole Brush Shoe Accessories,../data/RAW/images/6842.jpg
13089,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,../data/RAW/images/13089.jpg
18461,David Beckham Signature Men Deos,../data/RAW/images/18461.jpg
9036,Buckaroo Men Flores Black Formal Shoes,../data/RAW/images/9036.jpg
48311,Pitaraa Women Bronze Beaded Bracelet,../data/RAW/images/48311.jpg
7990,Fila Men's Round Neck Navy Blue T-shirt,../data/RAW/images/7990.jpg
56019,Colorbar Soft Touch Show Stopper Copper Lipstick 037,../data/RAW/images/56019.jpg
21977,Murcia Women Casual Brown Handbag,../data/RAW/images/21977.jpg
37812,John Players Men Navy Blue Shirt,../data/RAW/images/37812.jpg
4729,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,../data/RAW/images/4729.jpg
56825,John Players Men Brown Shirt,../data/RAW/images/56825.jpg
39988,Gas Men Europa White Shoes,../data/RAW/images/39988.jpg
59051,Carlton London Women Black & Gold Toned Flats,../data/RAW/images/59051.jpg
20099,Diva Women Embroided Green Kurta,../data/RAW/images/20099.jpg
58183,Rocky S Women White Handbag,../data/RAW/images/58183.jpg
29742,Kiara Women Teal Handbag,../data/RAW/images/29742.jpg
51658,Fossil Women Copper Chronograph Watch CH2589,../data/RAW/images/51658.jpg
3954,Jealous 21 Women's Pink T-shirt,../data/RAW/images/3954.jpg
18839,Peter England Men Formal Black Belt,../data/RAW/images/18839.jpg
2886,Catwalk Women Leather Brown Flats,../data/RAW/images/2886.jpg
23278,Maxima Ssteele Men Off White Watch,../data/RAW/images/23278.jpg
28690,W Women Printed Beige Kurta,../data/RAW/images/28690.jpg
8580,Scullers Men  Grey Waistcoat,../data/RAW/images/8580.jpg
3168,Nike Men's Incinerate MSL White Blue Shoe,../data/RAW/images/3168.jpg
18005,Puma Men Long Logo Black Bermuda,../data/RAW/images/18005.jpg
17871,Levis Men Boxer Maroon Brief,../data/RAW/images/17871.jpg
9452,John Miller Men Stripes White Red Shirts,../data/RAW/images/9452.jpg
38402,Baggit Women Hood Dabang Black Belt,../data/RAW/images/38402.jpg
44984,Maxima Women White Dial Watch,../data/RAW/images/44984.jpg
10268,Clarks Men Hang Work Leather Black Formal Shoes,../data/RAW/images/10268.jpg
45856,Vishudh Women Brown Kurta,../data/RAW/images/45856.jpg
32138,Playboy Men Blue Titanium Briefs,../data/RAW/images/32138.jpg
59435,Arrow Men Black Formal Shoes,../data/RAW/images/59435.jpg
5891,Puma Men's Stripe Polo Black T-shirt,../data/RAW/images/5891.jpg
38630,Nike Women Purple Polo T-shirt,../data/RAW/images/38630.jpg
4943,Gini and Jony Boy's Kaleb White Brown Kidswear,../data/RAW/images/4943.jpg
11188,Carrera Men Dial steel finish strap Silver Watches,../data/RAW/images/11188.jpg
10866,Wrangler Men Motor Rider Red T-Shirts,../data/RAW/images/10866.jpg
59607,FNF Pink & Grey Wedding Collection Sari,../data/RAW/images/59607.jpg
15528,Puma Men Scribble Black Tshirts,../data/RAW/images/15528.jpg
45258,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,../data/RAW/images/45258.jpg
42841,French Connection Women Beige Handbag,../data/RAW/images/42841.jpg
22198,Timberland Men Black Casual Shoes,../data/RAW/images/22198.jpg
29570,Vans Men Classic Slip-On Purple & Black Shoes,../data/RAW/images/29570.jpg
43993,Police Women Passion Perfume,../data/RAW/images/43993.jpg
6628,ADIDAS Men's Lowell White Silver Shoe,../data/RAW/images/6628.jpg
54924,Do U Speak Green Men Blue Shorts,../data/RAW/images/54924.jpg
26538,ID Men Red Shoes,../data/RAW/images/26538.jpg
35913,Peperone Women Black & White Handbag,../data/RAW/images/35913.jpg
49495,Vans Men Khaki Shoes,../data/RAW/images/49495.jpg
9660,Indigo Nation Men Reversible Bling Pink Shirts,../data/RAW/images/9660.jpg
2288,Nike Women Black T-shirt,../data/RAW/images/2288.jpg
23876,ADIDAS Men Blue Sweatshirt,../data/RAW/images/23876.jpg
18237,Manchester United Men Solid Red Tshirt,../data/RAW/images/18237.jpg
54118,Rocia Women Black Flats,../data/RAW/images/54118.jpg
2872,Catwalk Women Leather Flats,../data/RAW/images/2872.jpg
49653,Mineral Women Green Top,../data/RAW/images/49653.jpg
8574,Crocs Dora Boots Pink Sandals,../data/RAW/images/8574.jpg
16957,Image Men Sunglasses,../data/RAW/images/16957.jpg
19123,Lotto Men XL Water Man Silver Slippers,../data/RAW/images/19123.jpg
13419,United Colors of Benetton Men Solid Pink Polo T-shirts,../data/RAW/images/13419.jpg
17885,Levis Men Comfort Style Grey Innerwear Vest,../data/RAW/images/17885.jpg
43369,Reebok Men Black Possession Flip Flops,../data/RAW/images/43369.jpg
48781,Lucera Women Silver Pendant,../data/RAW/images/48781.jpg
44970,Maxima Men White Dial Analog Chronograph Watch,../data/RAW/images/44970.jpg
56489,Streetwear Ash Nail Polish # 31,../data/RAW/images/56489.jpg
39524,Peter England Unisex Orange Sleeve Bag,../data/RAW/images/39524.jpg
33822,Puma Men Axis White & Grey Sports Shoes,../data/RAW/images/33822.jpg
58513,Tonga Women Maroon Top,../data/RAW/images/58513.jpg
25947,Femella Women Brown Scarf,../data/RAW/images/25947.jpg
